"player_number","player_name","player_state","player_points","pre_tournament_rating","post_tournament_rating","average_opponent_rating","expected_points","expected_points_difference","rating_change","rating_change_type","rating_comparison","rating_comp_type"
"23","ALAN BUI","ON",4,1363,1371,1214,3.9,0.1,8,"increase",149,"above"
"24","MICHAEL R ALDRICH","MI",4,1229,1300,1357,2.6,1.4,71,"increase",-128,"below"
"25","LOREN SCHWIEBERT","MI",3.5,1745,1681,1363,6.3,-2.8,-64,"decrease",382,"above"
"26","MAX ZHU","ON",3.5,1579,1564,1507,4.1,-0.6,-15,"decrease",72,"above"
"27","GAURAV GIDWANI","MI",3.5,1552,1539,1222,4,-0.5,-13,"decrease",330,"above"
"28","SOFIA ADINA STANESCU-BELLU","MI",3.5,1507,1513,1522,3.3,0.2,6,"increase",-15,"below"
"29","CHIEDOZIE OKORIE","MI",3.5,1602,1508,1314,4.6,-1.1,-94,"decrease",288,"above"
"30","GEORGE AVERY JONES","ON",3.5,1522,1444,1144,6,-2.5,-78,"decrease",378,"above"
"31","RISHI SHETTY","MI",3.5,1494,1444,1260,5.1,-1.6,-50,"decrease",234,"above"
"32","JOSHUA PHILIP MATHEWS","ON",3.5,1441,1433,1379,3.7,-0.2,-8,"decrease",62,"above"
"33","JADE GE","MI",3.5,1449,1421,1277,4.6,-1.1,-28,"decrease",172,"above"
"34","MICHAEL JEFFERY THOMAS","MI",3.5,1399,1400,1375,3.4,0.1,1,"increase",24,"above"
"35","JOSHUA DAVID LEE","MI",3.5,1438,1392,1150,5,-1.5,-46,"decrease",288,"above"
"36","SIDDHARTH JHA","MI",3.5,1355,1367,1388,2.7,0.8,12,"increase",-33,"below"
"37","AMIYATOSH PWNANANDAM","MI",3.5,980,1077,1385,0.77,2.73,97,"increase",-405,"below"
"38","BRIAN LIU","MI",3,1423,1439,1539,2.1,0.9,16,"increase",-116,"below"
"39","JOEL R HENDON","MI",3,1436,1413,1430,3.6,-0.6,-23,"decrease",6,"above"
"40","FOREST ZHANG","MI",3,1348,1346,1391,2.9,0.1,-2,"decrease",-43,"below"
"41","KYLE WILLIAM MURPHY","MI",3,1403,1341,1248,2.4,0.6,-62,"decrease",155,"above"
"42","JARED GE","MI",3,1332,1256,1150,5,-2,-76,"decrease",182,"above"
"43","ROBERT GLEN VASEY","MI",3,1283,1244,1107,4.3,-1.3,-39,"decrease",176,"above"
"44","JUSTIN D SCHILLING","MI",3,1199,1199,1327,2.1,0.9,0,"decrease",-128,"below"
"45","DEREK YAN","MI",3,1242,1191,1152,4.4,-1.4,-51,"decrease",90,"above"
"46","JACOB ALEXANDER LAVALLEY","MI",3,377,1076,1358,0.043,2.96,699,"increase",-981,"below"
"47","ERIC WRIGHT","MI",2.5,1362,1341,1392,3.2,-0.7,-21,"decrease",-30,"below"
"48","DANIEL KHAIN","MI",2.5,1382,1335,1356,2.5,0,-47,"decrease",26,"above"
"49","MICHAEL J MARTIN","MI",2.5,1291,1259,1286,2.5,0,-32,"decrease",5,"above"
"50","SHIVAM JHA","MI",2.5,1056,1111,1296,1.4,1.1,55,"increase",-240,"below"
"51","TEJAS AYYAGARI","MI",2.5,1011,1097,1356,1,1.5,86,"increase",-345,"below"
"52","ETHAN GUO","MI",2.5,935,1092,1495,0.3,2.2,157,"increase",-560,"below"
"53","JOSE C YBARRA","MI",2,1393,1359,1345,1.7,0.3,-34,"decrease",48,"above"
"54","LARRY HODGE","MI",2,1270,1200,1206,3.4,-1.4,-70,"decrease",64,"above"
"55","ALEX KONG","MI",2,1186,1163,1406,1.4,0.6,-23,"decrease",-220,"below"
"56","MARISA RICCI","MI",2,1153,1140,1414,1.1,0.9,-13,"decrease",-261,"below"
"57","MICHAEL LU","MI",2,1092,1079,1363,1.3,0.7,-13,"decrease",-271,"below"
"58","VIRAJ MOHILE","MI",2,917,941,1391,0.43,1.57,24,"increase",-474,"below"
"59","SEAN M MC CORMICK","MI",2,853,878,1319,0.41,1.59,25,"increase",-466,"below"
"60","JULIA SHEN","MI",1.5,967,984,1330,0.6,0.9,17,"increase",-363,"below"
"61","JEZZEL FARKAS","ON",1.5,955,979,1327,0.97,0.53,24,"increase",-372,"below"
"62","ASHWIN BALAJI","MI",1,1530,1535,1186,0.88,0.12,5,"increase",344,"above"
"63","THOMAS JOSEPH HOSMER","MI",1,1175,1125,1350,1.4,-0.4,-50,"decrease",-175,"below"
"64","BEN LI","MI",1,1163,1112,1263,2.3,-1.3,-51,"decrease",-100,"below"
